date,equity
2024-02-08,288358.98162931827
2024-02-09,298435.6250924531
2024-02-12,296634.5746468964
2024-02-13,288062.63862699893
2024-02-14,297181.731430954
2024-02-15,295631.49476713565
2024-02-16,293648.047043747
2024-02-20,284597.37074369815
2024-02-21,281702.0768289032
2024-02-22,312296.5914773407
2024-02-23,309310.09892362985
2024-02-26,313254.10708708194
2024-02-27,311863.4505166474
2024-02-28,306551.6029672089
2024-02-29,316901.7371987763
2024-03-01,336484.9450082245
2024-03-04,344578.1407479706
2024-03-05,336758.54092497256
2024-03-06,349730.4432534638
2024-03-07,367558.23498625186
2024-03-08,346629.96992582706
2024-03-11,337488.05993742374
2024-03-12,353423.63763517764
2024-03-13,343141.9199075165
2024-03-14,334022.82710356143
2024-03-15,330329.5976724091
2024-03-18,331332.67755216983
2024-03-19,330238.3990334931
2024-03-20,338194.7617654266
2024-03-21,349639.24461454776
2024-03-22,352671.3364877167
2024-03-25,351394.66069120786
2024-03-26,346584.3355569306
2024-03-27,346401.9382790986
2024-03-28,346629.96992582706
2024-04-01,353355.2561807099
2024-04-02,346675.5341958466
2024-04-03,348727.32832426456
2024-04-04,335003.12484831235
2024-04-05,341272.4880074921
2024-04-08,342229.96856779483
2024-04-09,344600.95793241885
2024-04-10,340155.3572549287
2024-04-11,351919.00029081735
2024-04-12,336804.1051949921
2024-04-15,329235.28410429385
2024-04-16,333338.87236112985
2024-04-17,317927.59921354684
2024-04-18,309332.9161080781
2024-04-19,287857.4942635956
2024-04-22,296543.37600798043
2024-04-23,307440.70207304385
2024-04-24,307987.82380766293
2024-04-25,317471.6761178436
2024-04-26,329873.604477829
2024-04-29,331560.6741494599
2024-04-30,321780.4437875214
2024-05-01,307554.68284696963
2024-05-02,317084.1344766083
2024-05-03,330078.81894010934
2024-05-06,341340.8694619599
2024-05-07,336918.12101835635
2024-05-08,338445.54049772647
2024-05-09,335208.2692117157
2024-05-10,342777.1604012909
2024-05-13,342685.92671293643
2024-05-14,351394.66069120786
2024-05-15,366942.69674772647
2024-05-16,363067.0700387421
2024-05-17,358621.5394601288
2024-05-20,369450.4490212861
2024-05-21,368698.1128243867
2024-05-22,373075.26194853213
2024-05-23,380438.93867582706
2024-05-24,390561.11135954293
2024-05-28,403259.4177712861
2024-05-29,393729.9661416474
2024-05-30,386024.3821420136
2024-05-31,381943.57602018735
2024-06-03,388782.8780984345
2024-06-04,386776.71833891293
2024-06-05,413700.78569120786
2024-06-06,409141.27433866885
2024-06-07,408685.2811440888
2024-06-10,417006.43843168643
2024-06-11,416140.1565102997
2024-06-12,433489.17291349795
2024-06-13,442881.8616342011
2024-06-14,444432.09829801944
2024-06-17,454896.2483529511
2024-06-18,464653.6615304413
2024-06-20,446780.2704781952
2024-06-21,437592.7611703339
2024-06-24,416824.07620329293
2024-06-25,430479.89822477725
2024-06-26,428519.3027352753
2024-06-27,423845.7405099335
2024-06-28,428040.52740568545
2024-07-01,428747.3343820038
2024-07-02,434720.24939054874
2024-07-03,448376.14151091006
2024-07-05,448604.0329598847
2024-07-08,458840.22146696475
2024-07-09,460208.0608529511
2024-07-10,474935.34420866397
2024-07-11,451567.74337858584
2024-07-12,459387.41330046084
2024-07-15,457973.93954557803
2024-07-16,457700.34362883
2024-07-17,413267.64473051456
2024-07-18,416276.91941923526
2024-07-19,399406.6432961884
2024-07-22,421246.8246468964
2024-07-23,414726.6827554169
2024-07-24,383083.4538583222
2024-07-25,373006.88049406436
2024-07-26,381556.03437895206
2024-07-29,377657.62553495786
2024-07-30,356843.30619902036
2024-07-31,396784.9102487031
2024-08-01,360354.1383523407
2024-08-02,331674.65492338565
2024-08-05,320002.21052641293
2024-08-06,329463.2807015839
2024-08-07,315807.4236306611
2024-08-08,346447.572647995
2024-08-09,346310.77468962094
2024-08-12,351121.1348733368
2024-08-13,372163.38070768735
2024-08-14,372619.3038033906
2024-08-15,395371.4364938202
2024-08-16,396146.58987516793
2024-08-19,406701.8684701386
2024-08-20,399224.24601835635
2024-08-21,405083.2854012909
2024-08-22,386366.3595132294
2024-08-23,399976.58221525577
2024-08-26,386708.3018350067
2024-08-27,392270.928116745
2024-08-28,382878.30949491885
2024-08-29,376084.5716866913
2024-08-30,388737.31382841495
2024-09-03,347085.8930215302
2024-09-04,345854.8165444794
2024-09-05,344965.68238920596
