date,action,price,leverage,stop,entry,pnl,exit
2024-03-08,ENTER,223.30238342285156,3.0,219.0596381378174,,,
2024-03-11,STOP,,,219.0596381378174,223.30238342285156,-33865.59286514279,
2024-03-11,ENTER,219.32244873046875,3.0,215.15532220458985,,,
2024-03-13,STOP,,,221.96106958007812,219.32244873046875,20222.39019140619,
2024-03-13,ENTER,221.7838592529297,3.25,217.56996592712403,,,
2024-03-14,STOP,,,217.56996592712403,221.7838592529297,-35847.59052262872,
2024-03-14,ENTER,217.81385803222656,3.0,213.67539472961425,,,
2024-03-19,STOP,,,213.67539472961425,217.81385803222656,-31046.751696197538,
2024-03-19,ENTER,216.1663055419922,3.25,212.05914573669432,,,
2024-03-27,STOP,,,221.63977770996092,216.1663055419922,42266.152081054584,
2024-03-27,ENTER,223.20310974121097,3.5,218.96225065612796,,,
2024-04-02,STOP,,,221.93186531066897,223.20310974121097,-11081.437701034596,
2024-04-02,ENTER,223.3222198486328,3.0,219.07909767150878,,,
2024-04-04,STOP,,,219.95537544250487,223.3222198486328,-24638.567364044255,
2024-04-04,ENTER,218.2406311035156,3.0,214.0940591125488,,,
2024-04-12,STOP,,,221.3184708709717,218.2406311035156,22006.5543373112,
2024-04-12,ENTER,219.02468872070312,3.0,214.86321963500976,,,
2024-04-16,STOP,,,214.86321963500976,219.02468872070312,-30903.06943035896,
2024-04-16,ENTER,217.51609802246097,3.0,213.38329216003422,,,
2024-04-17,STOP,,,213.38329216003422,217.51609802246097,-29140.414135971012,
2024-04-17,ENTER,210.80679321289065,3.0,206.80146414184574,,,
2024-04-18,STOP,,,206.80146414184574,210.80679321289065,-27480.56275643914,
2024-04-18,ENTER,207.06509399414065,3.0,203.13085720825197,,,
2024-04-19,STOP,,,203.13085720825197,207.06509399414065,-25914.817708648774,
2024-04-19,ENTER,197.71575927734375,3.0,193.95915985107422,,,
2024-04-30,STOP,,,212.62386140441896,197.71575927734375,96977.20433662424,
2024-04-30,ENTER,212.484130859375,3.0,208.44693237304688,,,
2024-05-01,STOP,,,208.44693237304688,212.484130859375,-29964.087165527326,
2024-05-01,ENTER,206.2909393310547,3.0,202.37141148376463,,,
2024-05-17,STOP,,,227.73477310180664,206.2909393310547,154588.59765335082,
2024-05-17,ENTER,228.52291870117188,3.75,224.1809832458496,,,
2024-05-29,STOP,,,243.24487467956544,228.52291870117188,157112.71420141615,
2024-05-29,ENTER,243.8073883056641,3.0,239.17504792785647,,,
2024-05-31,STOP,,,239.17504792785647,243.8073883056641,-46022.301653518734,
2024-05-31,ENTER,238.6761779785156,3.5,234.1413305969238,,,
2024-06-20,STOP,,,269.4650545349121,238.6761779785156,343788.5956287233,
2024-06-20,ENTER,266.9028625488281,3.25,261.8317081604004,,,
2024-06-21,STOP,,,261.8317081604004,266.9028625488281,-68247.5957594602,
2024-06-21,ENTER,262.903076171875,3.25,257.9079177246094,,,
2024-06-24,STOP,,,257.9079177246094,262.903076171875,-64032.93613549803,
2024-06-24,ENTER,253.8614196777344,3.25,249.03805270385743,,,
2024-07-01,STOP,,,254.87016476440428,253.8614196777344,12564.928799559975,
2024-07-01,ENTER,259.0522155761719,3.5,254.1302234802246,,,
2024-07-11,STOP,,,273.85614321899413,259.0522155761719,197114.2965641784,
2024-07-11,ENTER,268.9870910644531,3.5,263.8763363342285,,,
2024-07-17,STOP,,,267.2159515686035,268.9870910644531,-27254.294562134237,
2024-07-17,ENTER,252.31312561035156,3.0,247.51917622375487,,,
2024-07-19,STOP,,,248.80437364196777,252.31312561035156,-48199.72578968814,
2024-07-19,ENTER,246.2787322998047,3.0,241.5994363861084,,,
2024-07-24,STOP,,,250.92691479492188,246.2787322998047,62685.38912915052,
2024-07-24,ENTER,239.17242431640625,3.0,234.62814825439452,,,
2024-07-25,STOP,,,234.62814825439452,239.17242431640625,-66678.16265789815,
2024-07-25,ENTER,234.78558349609375,3.0,230.32465740966796,,,
2024-07-30,STOP,,,233.97581977844237,234.78558349609375,-11414.429364013831,
2024-07-30,ENTER,227.7487640380859,3.0,223.42153752136227,,,
2024-08-01,STOP,,,240.47974978637697,227.7487640380859,183084.30604617376,
2024-08-01,ENTER,229.27720642089844,3.0,224.92093949890136,,,
2024-08-02,STOP,,,224.92093949890136,229.27720642089844,-72662.53225891122,
2024-08-02,ENTER,216.7915802001953,3.0,212.6725401763916,,,
2024-08-05,STOP,,,212.6725401763916,216.7915802001953,-68524.34983599845,
2024-08-05,ENTER,211.70997619628903,3.0,207.68748664855954,,,
2024-08-07,STOP,,,211.72810913085937,211.70997619628903,291.28746093781047,
2024-08-07,ENTER,209.88377380371097,3.0,205.89598210144047,,,
2024-08-20,STOP,,,244.7150723876953,209.88377380371097,564545.6874492181,
2024-08-20,ENTER,246.19932556152344,3.0,241.52153837585448,,,
2024-08-22,STOP,,,244.02380987548827,246.19932556152344,-45024.472638183855,
2024-08-22,ENTER,240.6016387939453,3.0,236.03020765686034,,,
2024-08-26,STOP,,,241.84284521484375,240.6016387939453,25588.71157324216,
2024-08-26,ENTER,240.75050354003903,3.0,236.17624397277828,,,
2024-08-28,STOP,,,238.55192372131347,240.75050354003903,-45998.68696737622,
2024-08-28,ENTER,239.08311462402344,3.0,234.54053544616698,,,
2024-09-03,STOP,,,237.0427919769287,239.08311462402344,-41808.25136161832,
2024-09-03,ENTER,223.50086975097656,3.0,219.254353225708,,,
2024-09-06,STOP,,,219.254353225708,223.50086975097656,-90701.34646321119,
2024-09-06,ENTER,213.38731384277344,3.0,209.33295487976073,,,
2024-09-16,STOP,,,230.66543875122073,213.38731384277344,364499.32306860416,
2024-09-16,ENTER,232.0462951660156,3.0,227.6374155578613,,,
2024-09-20,STOP,,,234.73525053405763,232.0462951660156,64836.09183422944,
2024-09-20,ENTER,236.11553955078125,3.0,231.62934429931641,,,
2024-09-27,STOP,,,245.9613357696533,236.11553955078125,241418.92328674239,
2024-09-27,ENTER,245.88172912597656,3.0,241.209976272583,,,
2024-09-30,STOP,,,241.209976272583,245.88172912597656,-123764.07659210247,
2024-09-30,ENTER,243.60890197753903,3.0,238.9803328399658,,,
2024-10-01,STOP,,,238.9803328399658,243.60890197753903,-116709.37080390917,
2024-10-01,ENTER,237.0881805419922,3.0,232.58350511169434,,,
2024-10-15,STOP,,,254.39307687377928,237.0881805419922,422775.9222818904,
2024-10-15,ENTER,245.3060760498047,3.0,240.6452606048584,,,
2024-10-23,STOP,,,246.17554032897948,245.3060760498047,25025.79034748805,
2024-10-23,ENTER,247.14219665527344,3.0,242.44649491882325,,,
2024-10-30,STOP,,,250.14799456787108,247.14219665527344,86786.40313043175,
2024-10-30,ENTER,248.79965209960935,3.0,244.07245870971676,,,
2024-10-31,STOP,,,244.07245870971676,248.79965209960935,-140525.27790133705,
2024-10-31,ENTER,239.86717224121097,3.0,235.30969596862795,,,
2024-11-11,STOP,,,254.13992330932618,239.86717224121097,415008.782807586,
2024-11-11,ENTER,251.6282958984375,3.0,246.84735827636717,,,
2024-11-13,STOP,,,246.84735827636717,251.6282958984375,-156174.10836254925,
2024-11-13,ENTER,245.77256774902344,3.0,241.102888961792,,,
2024-11-15,STOP,,,241.63837042236327,245.77256774902344,-130384.31528820848,
2024-11-15,ENTER,238.1501617431641,3.0,233.62530867004398,,,
2024-11-20,STOP,,,237.74379922485352,238.1501617431641,-12558.633628388252,
2024-11-20,ENTER,240.72071838378903,3.0,236.14702473449705,,,
2024-11-26,STOP,,,239.61321675109863,240.72071838378903,-33687.984663176605,
2024-11-26,ENTER,239.609130859375,3.0,235.05655737304687,,,
2024-11-27,STOP,,,235.05655737304687,239.609130859375,-137200.90715747082,
2024-11-27,ENTER,236.46290588378903,3.0,231.97011067199705,,,
2024-12-05,STOP,,,245.97108050537108,236.46290588378903,273816.41275231965,
2024-12-05,ENTER,246.43751525878903,3.25,241.75520246887203,,,
2024-12-10,STOP,,,242.05703480529786,246.43751525878903,-146947.59729281493,
2024-12-10,ENTER,238.0806884765625,3.0,233.5571553955078,,,
2024-12-17,STOP,,,246.57473020935058,238.0806884765625,256528.5543719327,
2024-12-17,ENTER,248.0850830078125,3.0,243.37146643066407,,,
2024-12-18,STOP,,,243.37146643066407,248.0850830078125,-151236.38787780734,
2024-12-18,ENTER,240.17486572265625,3.0,235.61154327392578,,,
2024-12-20,STOP,,,235.61154327392578,240.17486572265625,-142617.51649017353,
2024-12-20,ENTER,240.88946533203125,3.0,236.31256549072265,,,
2024-12-27,STOP,,,245.8290408782959,240.88946533203125,145144.48785144044,
2024-12-27,ENTER,247.6294708251953,3.0,242.9245108795166,,,
2024-12-30,STOP,,,242.9245108795166,247.6294708251953,-142757.89467178384,
2024-12-30,ENTER,243.9010772705078,3.0,239.26695680236816,,,
2025-01-07,STOP,,,254.4937575073242,243.9010772705078,307717.36087951617,
2025-01-07,ENTER,253.25196838378903,3.0,248.44018098449703,,,
2025-01-10,STOP,,,248.44018098449703,253.25196838378903,-152163.15292781094,
2025-01-10,ENTER,246.4132537841797,3.0,241.73140196228027,,,
2025-01-13,STOP,,,241.73140196228027,246.4132537841797,-143489.39463757325,
2025-01-13,ENTER,243.88113403320312,3.0,239.24739248657227,,,
2025-01-23,STOP,,,261.2807937927246,243.88113403320312,508087.46463778603,
2025-01-23,ENTER,266.0222473144531,3.0,260.9678246154785,,,
2025-01-24,STOP,,,260.9678246154785,266.0222473144531,-164268.7377166756,
2025-01-24,ENTER,260.71875,3.0,255.76509375,,,
2025-01-27,STOP,,,255.76509375,260.71875,-154905.78459374982,
2025-01-27,ENTER,235.0785217285156,3.0,230.6120298156738,,,
2025-02-03,STOP,,,239.76571961975097,235.0785217285156,153294.8070328528,
2025-02-03,ENTER,238.0393218994141,3.0,233.5165747833252,,,
2025-02-07,STOP,,,242.87562254333497,238.0393218994141,165551.4073420556,
2025-02-07,ENTER,244.24002075195312,3.0,239.599460357666,,,
2025-02-12,STOP,,,244.36210638427735,244.24002075195312,4321.220956116077,
2025-02-12,ENTER,247.7391357421875,3.0,243.03209216308593,,,
2025-02-21,STOP,,,252.1172993774414,247.7391357421875,153003.68456121848,
2025-02-21,ENTER,249.2145538330078,3.0,244.47947731018067,,,
2025-02-24,STOP,,,244.47947731018067,249.2145538330078,-173218.56935806252,
2025-02-24,ENTER,242.6649169921875,3.0,238.05428356933592,,,
2025-02-25,STOP,,,238.05428356933592,242.6649169921875,-163345.5209047857,
2025-02-25,ENTER,237.51095581054688,3.0,232.99824765014648,,,
2025-02-27,STOP,,,238.44548007202147,237.51095581054688,31899.05114117375,
2025-02-27,ENTER,228.08029174804688,3.0,223.746766204834,,,
2025-03-03,STOP,,,227.639047164917,228.08029174804688,-15869.361432265867,
2025-05-23,ENTER,236.70347595214844,3.0,232.2061099090576,,,
2025-05-30,STOP,,,239.57012136840822,236.70347595214844,98764.5345263984,
2025-05-30,ENTER,239.0063018798828,3.0,234.46518214416503,,,
2025-06-13,STOP,,,257.3493692321777,239.0063018798828,648629.2046444998,
2025-06-13,ENTER,256.19281005859375,3.0,251.32514666748045,,,
2025-06-20,STOP,,,257.5743214416504,256.19281005859375,56067.25796997098,
2025-06-20,ENTER,259.462646484375,3.0,254.53285620117188,,,
2025-07-01,STOP,,,272.73263955688475,259.462646484375,540367.3879056695,
2025-07-01,ENTER,274.9843444824219,3.0,269.7596419372559,,,
2025-07-14,STOP,,,281.1821786499023,274.9843444824219,274675.614634398,
2025-07-14,ENTER,284.4349670410156,3.0,279.0307026672363,,,
2025-07-16,STOP,,,284.38988818359377,284.4349670410156,-2061.9970961905533,
2025-07-16,ENTER,288.3826599121094,3.0,282.9033893737793,,,
2025-07-22,STOP,,,285.27981756591794,288.3826599121094,-139922.67560150285,
2025-07-22,ENTER,284.48480224609375,3.0,279.079591003418,,,
2025-07-31,STOP,,,289.7295542907715,284.48480224609375,232012.09620040914,
2025-07-31,ENTER,287.88421630859375,3.0,282.41441619873046,,,
2025-08-01,STOP,,,282.41441619873046,287.88421630859375,-252332.8186682131,
2025-08-01,ENTER,283.0692138671875,3.0,277.6908988037109,,,
2025-08-05,STOP,,,283.79334869384763,283.0692138671875,32037.897135924286,
2025-08-05,ENTER,286.2094421386719,3.0,280.7714627380371,,,
2025-08-15,STOP,,,295.2647737426758,286.2094421386719,399276.73641534505,
2025-08-15,ENTER,294.73291015625,3.0,289.13298486328125,,,
2025-08-19,STOP,,,290.31630413818357,294.73291015625,-207059.32333899045,
2025-08-19,ENTER,289.9677429199219,3.0,284.45835580444333,,,
2025-08-20,STOP,,,284.45835580444333,289.9677429199219,-250732.20762542862,
2025-08-20,ENTER,288.06365966796875,3.0,282.5904501342773,,,
2025-08-29,STOP,,,292.2917761230469,288.06365966796875,182654.6308593749,
2025-08-29,ENTER,289.3895568847656,3.0,283.8911553039551,,,
2025-09-02,STOP,,,283.8911553039551,289.3895568847656,-246856.23737206985,
2025-09-02,ENTER,285.59136962890625,3.0,280.165133605957,,,
2025-09-17,STOP,,,300.4381656188965,285.59136962890625,636927.5479705819,
2025-09-17,ENTER,304.3031311035156,3.0,298.5213716125488,,,
2025-09-25,STOP,,,315.0684118652344,304.3031311035156,501026.9319311533,
2025-09-25,ENTER,320.0640869140625,3.0,313.9828692626953,,,
2025-10-07,STOP,,,335.81086770629884,320.0640869140625,770726.1858760074,
2025-10-07,ENTER,336.0044860839844,3.0,329.62040084838867,,,
2025-10-10,STOP,,,338.44158709716794,336.0044860839844,130397.08971038663,
2025-10-10,ENTER,324.330810546875,3.0,318.16852514648434,,,
2025-10-14,STOP,,,332.26087994384767,324.330810546875,449135.34043634107,
